Archivo,sis,dias,map,fc,sat,etco2,vt
s1_0433.tiff,99,58,,139,99,,
s1_0434.tiff,99,,,140,99,,
s1_0435.tiff,95,57,,139,99,,
s1_0436.tiff,95,57,,139,99,,
s1_0437.tiff,96,57,,139,99,,
s1_0438.tiff,99,58,,139,99,,
s1_0439.tiff,99,58,1,139,99,,
s1_0440.tiff,99,58,,139,99,,
s1_0441.tiff,95,57,,139,99,,
s1_0442.tiff,95,57,,139,99,,
s1_0443.tiff,97,57,,139,99,,
s1_0444.tiff,99,58,,139,99,,
s1_0445.tiff,99,58,,139,99,,
s1_0446.tiff,99,58,,139,99,,
s1_0447.tiff,96,57,,139,99,,7
s1_0448.tiff,96,57,,138,99,,
s1_0449.tiff,9,57,,138,99,,
s1_0450.tiff,99,58,,138,99,,
s1_0451.tiff,99,58,,138,99,,
s1_0452.tiff,99,58,,138,99,,
s1_0453.tiff,95,57,,138,,,
s1_0454.tiff,95,57,7,138,98,7,
s1_0455.tiff,96,57,,138,98,,
s1_0456.tiff,98,58,,138,98,,
s1_0457.tiff,98,58,3,138,,0,
s1_0458.tiff,95,56,7,138,98,,
s1_0459.tiff,95,56,2,138,398,,
s1_0460.tiff,95,56,,138,98,,
s1_0461.tiff,9,57,,138,98,,
s1_0462.tiff,98,57,7,138,98,,
s1_0463.tiff,98,57,,137,,,
s1_0464.tiff,98,57,3,137,99,0,
s1_0465.tiff,94,56,,137,99,,
s1_0466.tiff,4,56,7,137,99,,
s1_0467.tiff,95,56,,137,99,,
s1_0468.tiff,98,57,,137,99,,7
s1_0469.tiff,98,57,3,137,99,,
s1_0470.tiff,94,56,2,137,99,,7
s1_0471.tiff,94,56,,137,399,,
s1_0472.tiff,94,56,,136,99,,
s1_0473.tiff,95,56,,136,99,,
s1_0474.tiff,95,55,,136,99,,
s1_0475.tiff,96,57,,136,99,,
s1_0476.tiff,96,57,,136,,,
s1_0477.tiff,,55,,136,99,,
s1_0478.tiff,94,55,,136,99,,2
s1_0479.tiff,95,56,,136,99,,
s1_0480.tiff,96,56,,136,99,,
s1_0481.tiff,9,56,,136,99,,
s1_0482.tiff,96,56,,136,99,,7
s1_0483.tiff,93,55,,136,99,,
s1_0484.tiff,93,55,,136,99,,
s1_0485.tiff,4,55,,136,99,,
s1_0486.tiff,96,56,2,136,99,,
s1_0487.tiff,9,56,2,136,99,,
s1_0488.tiff,96,56,,136,98,,
s1_0489.tiff,93,55,1,136,98,,
s1_0490.tiff,93,55,,136,99,,
s1_0491.tiff,93,55,2,136,99,,
s1_0492.tiff,95,56,2,136,99,,7
s1_0493.tiff,95,56,2,136,99,,
s1_0494.tiff,,56,27,136,99,,7
s1_0495.tiff,92,5,,136,99,,
s1_0496.tiff,92,5,,136,99,,
s1_0497.tiff,93,55,,136,99,,
s1_0498.tiff,96,56,,136,99,,
s1_0499.tiff,96,56,,136,99,,
s1_0500.tiff,93,5,,135,99,,
s1_0501.tiff,93,,,135,99,,
s1_0502.tiff,93,5,,135,99,,
s1_0503.tiff,93,55,,135,99,,
s1_0504.tiff,95,55,2,135,99,,
s1_0505.tiff,95,55,2,135,99,,
s1_0506.tiff,92,56,,135,99,,
s1_0507.tiff,92,,,135,99,,
s1_0508.tiff,92,5,,135,99,,
s1_0509.tiff,93,55,,135,99,,
s1_0510.tiff,96,56,,135,99,,
s1_0511.tiff,96,56,2,135,99,,
s1_0512.tiff,93,55,,135,99,,
s1_0513.tiff,93,55,,135,98,,0
s1_0514.tiff,93,55,,135,99,,
s1_0515.tiff,,55,,135,99,,
s1_0516.tiff,95,56,2,135,99,,
s1_0517.tiff,95,56,2,135,99,,
s1_0518.tiff,95,56,,135,99,,
s1_0519.tiff,92,5,,135,99,0,7
s1_0520.tiff,92,54,,135,98,,
s1_0521.tiff,93,55,,135,98,,
s1_0522.tiff,95,55,2,135,,,7
s1_0523.tiff,95,55,,135,98,,
s1_0524.tiff,95,55,2,135,98,,2
s1_0525.tiff,92,54,,135,98,,0
s1_0526.tiff,92,54,,135,98,,7
s1_0527.tiff,92,54,,135,98,,
s1_0528.tiff,,55,2,135,98,,
s1_0529.tiff,94,55,,135,99,,
s1_0530.tiff,94,55,2,134,99,0,
s1_0531.tiff,92,5,,134,99,,
s1_0532.tiff,92,54,,134,99,,
